baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000000003	1.874268299	-0.374615651	0.990237581	-0.378308861	0.705201164	0.806223554
ENSG00000000419	25.67329147	-1.233478764	0.397322214	-3.104479744	0.00190614	0.017617855
ENSG00000000457	6.172484482	-1.007977854	0.606624126	-1.661618473	0.096589297	0.222924135
ENSG00000000460	19.48720131	-0.530391912	0.310155787	-1.71008227	0.087250661	0.209784701
ENSG00000000938	92.36086886	-0.535813422	0.347092415	-1.543719769	0.122656235	0.260224406
ENSG00000000971	1.846697347	-0.498364357	1.204930938	-0.413604084	0.679164082	0.788452081
ENSG00000001036	35.67245459	-0.705980814	0.201342318	-3.506370749	0.000454262	0.00645324
ENSG00000001084	4.364585484	-0.404607266	0.746317079	-0.54213856	0.587723057	0.717217199
ENSG00000001167	4.855176165	-0.597661776	0.596349696	-1.002200185	0.316246918	0.480452049
ENSG00000001460	2.857880855	0.548350457	0.647648485	0.846679132	0.397173993	0.557208682
ENSG00000001461	54.10898859	1.105816133	0.247448972	4.468865326	7.86E-06	0.000313791
ENSG00000001497	13.40916886	-0.770843715	0.524748311	-1.468977982	0.141838761	0.285927379
ENSG00000001561	3.262650778	0.099097158	0.499148325	0.198532486	0.84262847	0.899809304
ENSG00000001629	27.12068672	-0.477914563	0.27191888	-1.757563001	0.078821893	0.196652996
ENSG00000001631	33.92889212	-0.158378381	0.316681732	-0.500118462	0.616991667	0.742167343
ENSG00000002016	1.238676056	0.025310349	0.965945274	0.026202674	0.979095683	0.986946006
ENSG00000002330	16.00391183	-0.621751335	0.234722618	-2.648876956	0.008075973	0.046150672
ENSG00000002549	93.27082382	-0.509056413	0.261167876	-1.949154008	0.051277035	0.149536556
ENSG00000002586	3771.929921	-0.093753309	0.104347896	-0.898468605	0.368935775	0.530532949
ENSG00000002587	0.161793256	-1.304382016	1.718537473	-0.759007025	0.447848354	NA
ENSG00000002726	0.058967349	-0.563586471	5.05334629	-0.11152738	0.911198155	NA
ENSG00000002745	0.286679851	-1.204136447	1.456528249	-0.826716851	0.408397568	NA
ENSG00000002822	11.90288163	-1.94071904	0.43241843	-4.488058105	7.19E-06	0.0002922
ENSG00000002834	18.60572091	-0.001027692	0.260108298	-0.003951016	0.996847553	0.997850188
ENSG00000002919	8.44448175	-0.030493976	0.398988475	-0.076428214	0.939078424	0.961192763
ENSG00000002933	5.324069185	-2.18960105	0.857685815	-2.55291741	0.010682482	0.054684581
ENSG00000003056	102.9731108	-0.17948154	0.189565793	-0.946803416	0.343738961	0.507256838
ENSG00000003096	2.362131334	0.256001344	0.609499934	0.420018657	0.674471824	0.78537243
ENSG00000003147	7.307071635	0.266521436	0.438665804	0.607572858	0.543470807	0.683627883
ENSG00000003249	0.184809275	-0.708543947	1.551435925	-0.456702037	0.647885227	NA
ENSG00000003393	5.14345142	-0.792214083	0.581622759	-1.362075451	0.173174075	0.325784599
ENSG00000003400	5.391282399	-0.505169127	0.558520128	-0.904477926	0.365742034	0.527737364
ENSG00000003402	127.7105901	0.090225659	0.127454087	0.707907144	0.479002923	0.629057703
ENSG00000003436	592.3193875	0.272829568	0.10803927	2.525281492	0.011560565	0.05732236
ENSG00000003509	3.155429651	-0.736631684	0.836715695	-0.880384686	0.37865095	0.540098439
ENSG00000003756	38.09395046	-1.162409583	0.405269767	-2.868236607	0.004127667	0.029355648
ENSG00000004059	249.2474896	0.07276555	0.13296	0.547273996	0.584190506	0.714995854
ENSG00000004139	0.409302766	-0.717023104	1.09031601	-0.657628704	0.510776746	NA
ENSG00000004142	14.39941386	-0.66638766	0.469016959	-1.420817835	0.155369724	0.303269252
ENSG00000004399	2.153626066	-0.838595842	0.890944908	-0.941243206	0.34658024	0.509583913
ENSG00000004455	23.75283047	-0.801852329	0.277706394	-2.887410398	0.003884272	0.028138111
ENSG00000004468	7.259121648	-0.627513755	0.759587437	-0.826124452	0.408733498	0.568305919
ENSG00000004478	5.059031566	-1.940936269	0.638114776	-3.041672663	0.002352676	0.020211232
ENSG00000004487	16.15460158	-0.363311642	0.40230302	-0.903079578	0.366483662	0.528481373
ENSG00000004534	91.66819123	-1.416684309	0.402663879	-3.518280088	0.000434354	0.006248224
ENSG00000004660	1.140856395	-0.506446051	0.925611169	-0.547147731	0.584277243	0.715027164
ENSG00000004700	90.28961699	0.129874214	0.260361433	0.49882278	0.617904238	0.742653819
ENSG00000004766	11.92604286	-1.186423007	0.616562194	-1.924255199	0.054322603	0.154836635
ENSG00000004776	0.507088663	-0.651378741	0.722782912	-0.901209381	0.367477004	NA
ENSG00000004777	0.076353452	-0.558815142	4.129694194	-0.135316349	0.892361759	NA
